"location","date","B (Lineage)","B.1.177 - 20E/EU1","B.1.466.2 - AU.3 (WHO FMV)","Delta - AY.127.3 (WHO VOC)","Delta - AY.24 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.3 (WHO VOC)","Other"
"Solomon Islands","2020-11-01","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Solomon Islands","2020-11-29","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Solomon Islands","2020-12-27","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Solomon Islands","2021-04-04","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Solomon Islands","2022-01-09","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0"
"Solomon Islands","2022-02-06","0,0","0,0","0,0","66,66666666666666","33,33333333333333","0,0","0,0","0,0","0"
"Solomon Islands","2022-02-20","0,0","0,0","0,0","20,0","80,0","0,0","0,0","0,0","0"
"Solomon Islands","2022-03-06","0,0","0,0","0,0","82,35294117647058","17,647058823529413","0,0","0,0","0,0","0"
"Solomon Islands","2022-03-20","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
"Solomon Islands","2022-04-03","0,0","0,0","0,0","84,21052631578947","10,526315789473683","0,0","0,0","5,263157894736842","0"
"Solomon Islands","2022-04-17","0,0","0,0","0,0","15,0","5,0","0,0","0,0","80,0","0"
"Solomon Islands","2022-05-01","0,0","0,0","0,0","0,0","1,0101010101010102","0,0","1,0101010101010102","97,97979797979798","0"
"Solomon Islands","2022-05-15","0,0","0,0","0,0","0,0","6,666666666666667","0,0","0,0","93,33333333333333","0"
