"location","date","A (Lineage)","Alpha (WHO VOC)","Alpha - Q.2 (WHO VOC)","Alpha - Q.8 (WHO VOC)","B (Lineage)","B.1.1.28","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.258 - 20A/S:439K","B.1.623 (PHE VUI)","Beta (WHO VOC)","C.36 (ECDC VUM)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Eta (WHO AFM)","Gamma - P.1.1 (WHO VOC)","Kappa (WHO AFM)","Other"
"Thailand","2020-01-26","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-02-09","33,33333333333333","0,0","0,0","0,0","66,66666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-02-23","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-03-08","40,0","0,0","0,0","0,0","60,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-03-22","50,98039215686274","0,0","0,0","0,0","22,875816993464053","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","26,143790849673206"
"Thailand","2020-04-05","14,423076923076922","0,0","0,0","0,0","69,23076923076923","0,9615384615384616","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,384615384615385"
"Thailand","2020-04-19","3,7037037037037033","0,0","0,0","0,0","48,148148148148145","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","48,148148148148145"
"Thailand","2020-05-17","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0"
"Thailand","2020-07-26","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-08-09","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-09-06","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-09-20","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-10-04","0,0","0,0","0,0","0,0","66,66666666666666","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-10-18","0,0","0,0","0,0","0,0","66,66666666666666","0,0","11,11111111111111","22,22222222222222","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-11-01","0,0","0,0","0,0","0,0","75,0","0,0","0,0","25,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-11-15","0,0","0,0","0,0","0,0","42,857142857142854","0,0","42,857142857142854","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,285714285714285"
"Thailand","2020-11-29","0,0","0,0","0,0","0,0","58,333333333333336","0,0","25,0","16,666666666666664","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-12-13","0,0","0,0","0,0","0,0","94,73684210526315","0,0","0,0","5,263157894736842","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2020-12-27","0,0","1,0752688172043012","0,0","0,0","98,9247311827957","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2021-01-10","0,0","3,389830508474576","0,0","0,0","96,61016949152543","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2021-01-24","0,0","9,615384615384617","0,0","0,0","86,53846153846155","0,0","0,0","0,0","3,8461538461538463","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2021-02-07","0,0","18,181818181818183","0,0","0,0","66,66666666666666","0,0","0,0","3,0303030303030303","0,0","0,0","6,0606060606060606","6,0606060606060606","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2021-02-21","0,0","10,526315789473683","0,0","0,0","85,08771929824562","0,0","0,0","0,0","0,8771929824561403","0,0","1,7543859649122806","0,0","0,0","0,0","0,0","0,0","0,0","1,7543859649122806","0,0","0,0","0,0"
"Thailand","2021-03-07","0,0","24,0","0,0","0,0","72,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0"
"Thailand","2021-03-21","0,0","12,307692307692308","0,0","0,0","78,46153846153847","0,0","3,076923076923077","0,0","0,0","0,0","4,615384615384616","0,0","0,0","0,0","0,0","0,0","0,0","1,5384615384615385","0,0","0,0","0,0"
"Thailand","2021-04-04","0,0","74,07407407407408","0,0","0,0","22,22222222222222","0,0","0,0","0,0","0,0","0,0","3,7037037037037033","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Thailand","2021-04-18","0,0","95,17241379310344","0,0","0,0","2,7586206896551726","0,0","0,0","0,0","0,0","0,0","0,6896551724137931","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6896551724137931","0,0","0,6896551724137931"
"Thailand","2021-05-02","0,0","95,6989247311828","0,0","0,0","2,1505376344086025","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0752688172043012","0,0","0,0","0,0","0,0","0,0","0,0","1,0752688172043012","0,0"
"Thailand","2021-05-16","0,0","77,83251231527095","0,3284072249589491","0,16420361247947454","2,134646962233169","0,0","0,0","0,0","0,0","0,0","3,9408866995073892","0,0","0,16420361247947454","0,0","0,0","9,688013136289","0,0","0,0","0,0","0,0","5,747126436781609"
"Thailand","2021-05-30","0,0","78,98089171974523","0,0","0,0","3,343949044585987","0,0","0,0","0,0","0,0","0,0","1,5923566878980893","0,0","0,47770700636942676","0,0","0,0","9,872611464968154","0,0","0,0","0,0","0,0","5,7324840764331215"
"Thailand","2021-06-13","0,0","64,03508771929825","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,017543859649122","0,0","0,8771929824561403","28,07017543859649","0,0","0,0","0,0","0,0","0,0"
