"location","date","AS (Lineage)","B (Lineage)","B.1.258 - 20A/S:439K","Gamma - P.1 (WHO PVOC)","Q (Lineage)","Other"
"Faeroe Islands","2020-03-08","0,0","100,0","0,0","0,0","0,0","0"
"Faeroe Islands","2020-03-22","0,0","100,0","0,0","0,0","0,0","0"
"Faeroe Islands","2020-07-26","100,0","0,0","0,0","0,0","0,0","0"
"Faeroe Islands","2020-08-09","0,0","100,0","0,0","0,0","0,0","0"
"Faeroe Islands","2020-08-23","0,0","100,0","0,0","0,0","0,0","0"
"Faeroe Islands","2020-09-20","0,0","33,33333333333333","66,66666666666666","0,0","0,0","0"
"Faeroe Islands","2020-10-04","0,0","11,11111111111111","88,88888888888889","0,0","0,0","0"
"Faeroe Islands","2021-01-24","0,0","0,0","0,0","100,0","0,0","0"
"Faeroe Islands","2021-02-21","0,0","100,0","0,0","0,0","0,0","0"
"Faeroe Islands","2021-03-21","0,0","0,0","0,0","0,0","100,0","0"
