"location","date","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.3.20 (WHO VOC)","Omicron - BA.4.1 (WHO VOC)","Omicron - BA.5.1 (WHO VOC)","Omicron - BA.5.1.1 (WHO VOC)","Omicron - BF.8 (WHO VOC)","Omicron - XBB.1 (WHO VOC-SUM)","Other","Unknown"
"Marshall Islands","2020-01-05","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-01-19","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-02-02","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-02-16","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-03-01","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-03-15","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-03-29","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-04-12","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-04-26","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-05-10","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-05-24","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-06-07","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-06-21","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-07-05","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-07-19","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-08-02","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-08-16","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-08-30","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-09-13","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-09-27","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-10-11","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-10-25","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-11-08","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-11-22","0","0","0","0","0","0","0","0","3"
"Marshall Islands","2020-12-06","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2020-12-20","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-01-03","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-01-17","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-01-31","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-02-14","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-02-28","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-03-14","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-03-28","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-04-11","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-04-25","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-05-09","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-05-23","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-06-06","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-06-20","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-07-04","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-07-18","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-08-01","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-08-15","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-08-29","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-09-12","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-09-26","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-10-10","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-10-24","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-11-07","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-11-21","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-12-05","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2021-12-19","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-01-02","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-01-16","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-01-30","0","0","0","0","0","0","0","0","3"
"Marshall Islands","2022-02-13","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-02-27","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-03-13","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-03-27","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-04-10","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-04-17","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-04-24","0","0","0","0","0","0","0","0","8"
"Marshall Islands","2022-05-08","0","0","0","0","0","0","0","0","2"
"Marshall Islands","2022-05-22","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-06-05","0","0","0","0","0","0","0","0","1"
"Marshall Islands","2022-06-19","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-07-03","0","0","0","0","0","0","0","0","8"
"Marshall Islands","2022-07-10","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-07-17","0","0","0","0","0","0","0","0","23"
"Marshall Islands","2022-07-31","0","0","0","0","0","0","0","0","15"
"Marshall Islands","2022-08-07","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-08-14","0","0","0","0","0","0","0","0","1794"
"Marshall Islands","2022-08-28","0","0","0","0","0","0","0","0","12939"
"Marshall Islands","2022-09-11","0","0","0","0","0","0","0","0","311"
"Marshall Islands","2022-09-25","0","0","0","0","0","0","0","0","172"
"Marshall Islands","2022-10-09","0","0","0","0","0","0","0","0","25"
"Marshall Islands","2022-10-16","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-10-23","0","0","0","0","0","0","0","0","63"
"Marshall Islands","2022-10-30","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2022-11-06","0","0","0","0","0","0","0","0","16"
"Marshall Islands","2022-11-20","0","0","0","0","0","0","0","0","117"
"Marshall Islands","2022-12-04","0","0","0","0","0","0","0","0","43"
"Marshall Islands","2022-12-18","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2023-01-01","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2023-01-15","0","0","0","0","0","0","0","0","0"
"Marshall Islands","2023-01-29","0","0","0","0","0","0","0","0","40"
"Marshall Islands","2023-02-12","0","0","0","0","0","0","0","0","7"
"Marshall Islands","2023-02-26","0","0","0","0","0","0","0","0","34"
"Marshall Islands","2023-03-12","0","0","0","0","0","0","0","0","30"
