"location","date","A.23.1 (ECDC VUM)","AU (Lineage)","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","B (Lineage)","B.1.1.318 (WHO AFM)","B.1.214.2 (WHO AFM)","B.1.221 - 20A/S:98F","B.1.619 (WHO AFM)","B.1.620 - 20A/S:126A","C.16 (ECDC VUM)","Delta (WHO VOC)","Other"
"Republic of Congo","2020-04-19","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2020-05-17","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2020-06-14","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2020-06-28","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2020-07-12","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2020-12-13","0,0","0,0","0,0","0,0","77,77777777777779","0,0","0,0","22,22222222222222","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2020-12-27","0,0","0,0","0,0","0,0","92,85714285714286","0,0","0,0","0,0","0,0","0,0","7,142857142857142","0,0","0,0"
"Republic of Congo","2021-01-10","0,0","0,0","0,0","0,0","92,85714285714286","0,0","0,0","0,0","0,0","0,0","7,142857142857142","0,0","0,0"
"Republic of Congo","2021-01-24","0,0","0,0","0,0","0,0","50,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2021-02-07","0,0","0,0","0,0","0,0","25,0","0,0","58,333333333333336","0,0","0,0","0,0","16,666666666666664","0,0","0,0"
"Republic of Congo","2021-02-21","3,7037037037037033","0,0","0,0","0,0","25,925925925925924","0,0","66,66666666666666","0,0","0,0","0,0","0,0","0,0","3,7037037037037033"
"Republic of Congo","2021-03-07","0,0","0,0","6,0606060606060606","0,0","33,33333333333333","0,0","45,45454545454545","0,0","0,0","0,0","12,121212121212121","0,0","3,0303030303030303"
"Republic of Congo","2021-04-04","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2021-04-18","0,0","0,0","66,66666666666666","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2021-05-02","0,0","0,0","50,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Republic of Congo","2021-05-16","0,0","0,0","54,54545454545454","0,0","0,0","0,0","27,27272727272727","0,0","0,0","18,181818181818183","0,0","0,0","0,0"
"Republic of Congo","2021-05-30","0,0","0,0","27,27272727272727","4,545454545454546","13,636363636363635","0,0","4,545454545454546","0,0","4,545454545454546","45,45454545454545","0,0","0,0","0,0"
"Republic of Congo","2021-06-13","0,0","0,0","35,714285714285715","0,0","14,285714285714285","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0"
"Republic of Congo","2021-06-27","0,0","7,142857142857142","7,142857142857142","0,0","32,142857142857146","3,571428571428571","0,0","0,0","0,0","42,857142857142854","0,0","7,142857142857142","0,0"
"Republic of Congo","2021-07-11","0,0","0,0","8,333333333333332","0,0","50,0","0,0","0,0","0,0","0,0","8,333333333333332","0,0","33,33333333333333","0,0"
"Republic of Congo","2021-07-25","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0"
