"location","date","A (Lineage)","A.23.1","AA (Lineage)","AZ (Lineage)","Alpha (WHO VOC)","B (Lineage)","B.1.1.28","B.1.1.318 (WHO AFM)","B.1.1.519 - 20B/S:732A","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.214.2 (WHO AFM)","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K","B.1.619 (WHO AFM)","B.1.620 - 20A/S:126A","Beta (WHO VOC)","C (Lineage)","C.1.2 (WHO AFM)","C.16","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.7 (WHO VOC)","Epsilon (WHO AFM)","Eta (WHO AFM)","Gamma (WHO VOC)","Gamma - P.1.1 (WHO VOC)","Gamma - P.1.2 (WHO VOC)","Iota (WHO AFM)","Kappa (WHO AFM)","Lambda (WHO VOI)","Mu - 21H (WHO VOI)","Other","Zeta - P.2 (CDC VBM)"
"South Africa","2020-03-08","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"South Africa","2020-03-22","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"South Africa","2020-04-05","0,8695652173913043","0,0","0,0","0,0","0,0","96,52173913043478","1,7391304347826086","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8695652173913043","0,0"
"South Africa","2020-04-19","0,0","0,0","0,0","0,0","0,0","89,47368421052632","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,140350877192982","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,385964912280701","0,0"
"South Africa","2020-05-03","0,9523809523809524","0,0","0,0","0,0","0,0","92,38095238095238","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,9047619047619049","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,761904761904762","0,0"
"South Africa","2020-05-17","0,684931506849315","0,0","0,0","0,0","0,0","86,98630136986301","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,95890410958904","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,36986301369863","0,0"
"South Africa","2020-05-31","0,0","0,0","0,0","0,0","0,0","74,71264367816092","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,195402298850574","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,091954022988507","0,0"
"South Africa","2020-06-14","0,0","0,0","0,0","0,0","0,0","87,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,357142857142857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,142857142857142","0,0"
"South Africa","2020-06-28","0,4405286343612335","0,0","0,0","0,0","0,0","65,63876651982379","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","32,59911894273127","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,3215859030837005","0,0"
"South Africa","2020-07-12","0,0","0,0","0,0","0,0","0,0","87,82608695652175","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,884057971014492","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2898550724637681","0,0"
"South Africa","2020-07-26","0,19230769230769232","0,0","0,0","0,0","0,0","84,61538461538461","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,26923076923077","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,9230769230769231","0,0"
"South Africa","2020-08-09","0,3115264797507788","0,0","0,0","0,0","0,0","84,42367601246106","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,641744548286603","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6230529595015576","0,0"
"South Africa","2020-08-23","0,0","0,0","0,0","0,0","0,0","82,6923076923077","0,0","0,0","0,0","0,0","0,641025641025641","0,0","0,641025641025641","1,282051282051282","0,0","0,0","0,641025641025641","6,41025641025641","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,6923076923076925","0,0"
"South Africa","2020-09-06","0,0","0,0","0,0","0,0","0,0","74,5","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,5","0,0","0,0","3,5000000000000004","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,5","0,0"
"South Africa","2020-09-20","0,0","0,0","0,0","0,0","0,0","70,75471698113208","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,666666666666664","7,547169811320755","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,031446540880504","0,0"
"South Africa","2020-10-04","0,0","0,0","0,0","0,0","0,0","68,1592039800995","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","22,388059701492537","3,482587064676617","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,970149253731343","0,0"
"South Africa","2020-10-18","0,0","0,0","0,0","0,0","0,0","60,3896103896104","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","21,428571428571427","13,96103896103896","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,220779220779221","0,0"
