"location","date","A (Lineage)","Alpha (WHO VOC)","B (Lineage)","B.1.1.28","B.1.177 - 20E/EU1","B.1.619 (WHO AFM)","C (Lineage)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.7 (WHO VOC)","Delta - AY.9 (WHO VOC)","Epsilon (WHO AFM)","Gamma - P.1 (WHO VOC)","Lambda (WHO VOI)","Mu - 21H (WHO VOI)","N (Lineage)","Other","Zeta - P.2 (CDC VBM)"
"Peru","2020-03-08","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-03-22","15,53398058252427","0,0","81,55339805825243","0,0","0,0","0,0","2,912621359223301","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-04-05","6,185567010309279","0,0","67,0103092783505","0,0","0,0","0,0","26,804123711340207","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-04-19","0,0","0,0","69,0909090909091","0,0","0,0","0,0","30,909090909090907","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-05-03","0,0","0,0","64,70588235294117","0,0","0,0","0,0","35,294117647058826","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-05-17","0,0","0,0","68,18181818181817","0,0","0,0","0,0","31,818181818181817","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-05-31","0,0","0,0","46,808510638297875","0,0","0,0","0,0","53,191489361702125","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-06-14","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-06-28","1,1235955056179776","0,0","59,55056179775281","0,0","0,0","0,0","39,325842696629216","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-07-12","0,0","0,0","65,51724137931035","0,0","0,0","0,0","34,48275862068966","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-07-26","0,0","0,0","71,42857142857143","0,0","0,0","0,0","28,57142857142857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-08-09","0,0","0,0","72,72727272727273","0,0","0,0","0,0","27,27272727272727","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-08-23","0,0","0,0","70,12987012987013","0,0","0,0","0,0","29,87012987012987","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-09-06","0,0","0,0","61,111111111111114","0,0","0,0","0,0","38,88888888888889","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-09-20","0,0","0,0","81,08108108108108","0,0","0,0","0,0","18,91891891891892","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-10-04","0,0","0,0","66,66666666666666","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-10-18","0,0","0,0","62,5","0,0","1,3888888888888888","0,0","36,11111111111111","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-11-01","0,0","0,0","61,904761904761905","0,0","0,0","0,0","38,095238095238095","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-11-15","0,0","0,0","33,33333333333333","33,33333333333333","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-11-29","0,0","0,0","69,44444444444444","0,0","0,0","0,0","30,555555555555557","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Peru","2020-12-13","0,0","0,0","66,08695652173913","0,0","2,608695652173913","0,0","30,434782608695656","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8695652173913043","0,0","0,0","0,0","0,0"
"Peru","2020-12-27","0,0","0,0","46,835443037974684","0,0","0,0","0,0","45,56962025316456","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,329113924050633","1,2658227848101267","0,0","0,0","0,0","0,0"
"Peru","2021-01-10","0,0","0,9900990099009901","66,33663366336634","0,9900990099009901","2,9702970297029703","0,0","9,900990099009901","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,861386138613863","2,9702970297029703","0,0","1,9801980198019802","0,0","0,0"
"Peru","2021-01-24","0,0","1,6528925619834711","52,066115702479344","0,0","0,0","0,0","14,049586776859504","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,6115702479338845","25,6198347107438","0,0","0,0","0,0","0,0"
"Peru","2021-02-07","0,0","0,0","60,0","0,0","0,0","0,0","3,5294117647058822","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1764705882352942","11,76470588235294","23,52941176470588","0,0","0,0","0,0","0,0"
"Peru","2021-02-21","0,0","0,0","48,64864864864865","0,0","0,0","0,9009009009009009","9,00900900900901","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,711711711711711","29,72972972972973","0,0","0,0","0,0","0,0"
"Peru","2021-03-07","0,0","0,7142857142857143","23,57142857142857","0,0","0,7142857142857143","0,0","5,714285714285714","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4285714285714286","11,428571428571429","55,714285714285715","0,0","0,7142857142857143","0,0","0,0"
"Peru","2021-03-21","0,0","0,904977375565611","13,574660633484163","0,0","0,0","0,0","0,904977375565611","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,669683257918551","71,94570135746606","0,0","0,0","0,0","0,0"
"Peru","2021-04-04","0,0","3,278688524590164","11,475409836065573","0,0","0,0","0,0","1,092896174863388","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,754098360655737","68,85245901639344","0,0","0,0","0,0","0,546448087431694"
"Peru","2021-04-18","0,0","1,7751479289940828","4,930966469428008","0,0","0,0","0,0","0,39447731755424065","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,765285996055226","75,7396449704142","0,0","0,0","0,39447731755424065","0,0"
