"location","date","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.37 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.42 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.5.4 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.72 (WHO VOC)","Delta - AY.89 (WHO VOC)","Delta - AY.9.1 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Delta - AY.98.1 (WHO VOC)"
"Monaco","2021-01-24","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Monaco","2021-02-07","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Monaco","2021-03-07","0,0","20,0","40,0","0,0","20,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Monaco","2021-04-18","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Monaco","2021-05-30","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Monaco","2021-06-13","0,0","0,0","0,0","0,0","0,0","54,54545454545454","0,0","0,0","0,0","0,0","27,27272727272727","0,0","0,0","0,0","0,0","18,181818181818183","0,0","0,0","0,0"
"Monaco","2021-06-27","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","5,0","5,0","10,0","0,0","0,0","0,0","0,0","25,0","5,0","0,0","0,0"
"Monaco","2021-07-11","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0"
"Monaco","2021-07-25","0,0","0,0","0,0","0,0","0,0","0,0","7,142857142857142","7,142857142857142","0,0","0,0","50,0","0,0","7,142857142857142","14,285714285714285","7,142857142857142","0,0","0,0","0,0","7,142857142857142"
"Monaco","2021-08-08","0,0","0,0","0,0","0,0","0,0","7,142857142857142","0,0","0,0","14,285714285714285","0,0","42,857142857142854","0,0","0,0","7,142857142857142","0,0","0,0","0,0","7,142857142857142","21,428571428571427"
"Monaco","2021-09-05","0,0","0,0","0,0","0,0","0,0","16,666666666666664","0,0","0,0","0,0","0,0","66,66666666666666","0,0","0,0","0,0","0,0","0,0","0,0","16,666666666666664","0,0"
"Monaco","2021-09-19","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
