"location","date","Delta - AY.5.4 (WHO VOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.5.1 (WHO VOC)","Omicron - BA.5.2.1 (WHO VOC)","Omicron - BA.5.2.2 (WHO VOC)","Omicron - BA.5.2.24 (WHO VOC)","Omicron - BQ.1.1 (WHO VOC)","Omicron - BQ.1.1.4 (WHO VOC)","Other"
"New Caledonia","2022-01-09","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"New Caledonia","2022-02-06","25,0","75,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"New Caledonia","2022-02-20","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"New Caledonia","2022-08-21","0,0","0,0","0,0","60,0","0,0","40,0","0,0","0,0","0,0","0"
"New Caledonia","2022-09-04","0,0","0,0","0,0","50,0","25,0","25,0","0,0","0,0","0,0","0"
"New Caledonia","2022-10-02","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"New Caledonia","2022-10-16","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0"
"New Caledonia","2022-10-30","0,0","0,0","0,0","0,0","0,0","0,0","0,0","75,0","25,0","0"
"New Caledonia","2022-11-13","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"New Caledonia","2022-11-27","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
