"location","date","AA (Lineage)","Alpha (WHO VOC)","Delta (WHO VOC)","Delta - AY.125 (WHO VOC)","Delta - AY.40 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.2.23 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)","Other"
"Dominica","2021-01-24","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Dominica","2021-02-07","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Dominica","2021-03-21","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Dominica","2021-04-04","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Dominica","2021-08-08","0,0","0,0","70,0","10,0","20,0","0,0","0,0","0,0","0,0"
"Dominica","2021-11-28","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0"
"Dominica","2022-01-09","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","50,0"
"Dominica","2022-02-20","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0"
"Dominica","2022-03-06","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0"
"Dominica","2022-04-03","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0"
"Dominica","2022-05-01","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0"
"Dominica","2022-05-15","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0"
