"location","date","Alpha (WHO VOC)","Delta (WHO VOC)","Delta - AY.107 (WHO VOC)","Delta - AY.39.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.47 (WHO VOC)","Delta - AY.98 (WHO VOC)","Gamma (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Unknown"
"Montserrat","2020-03-22","0","0","0","0","0","0","0","0","0","1"
"Montserrat","2020-04-05","0","0","0","0","0","0","0","0","0","5"
"Montserrat","2020-04-19","0","0","0","0","0","0","0","0","0","5"
"Montserrat","2020-05-03","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-05-17","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-05-31","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-06-14","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-06-28","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-07-12","0","0","0","0","0","0","0","0","0","1"
"Montserrat","2020-07-26","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-08-09","0","0","0","0","0","0","0","0","0","1"
"Montserrat","2020-08-23","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-09-06","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-09-20","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-10-04","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-10-18","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-11-01","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-11-15","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-11-29","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-12-13","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2020-12-27","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-01-10","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-01-24","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-02-07","3","2","0","0","0","0","0","0","0","0"
"Montserrat","2021-02-21","0","0","0","0","0","0","0","0","0","3"
"Montserrat","2021-03-07","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-03-21","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-04-04","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-04-18","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-05-02","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-05-16","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-05-30","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-06-13","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-06-27","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-07-11","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-07-25","0","0","0","0","0","0","0","0","0","1"
"Montserrat","2021-08-08","0","0","1","0","0","0","0","0","0","0"
"Montserrat","2021-08-22","0","0","0","3","0","0","0","0","0","0"
"Montserrat","2021-09-05","0","6","0","0","0","0","0","0","0","0"
"Montserrat","2021-09-19","0","0","0","0","0","2","0","0","0","0"
"Montserrat","2021-10-03","0","0","1","0","0","0","1","0","0","0"
"Montserrat","2021-10-17","0","0","7","0","0","0","0","0","0","0"
"Montserrat","2021-10-31","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-11-14","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-11-28","0","0","0","0","0","0","0","0","0","3"
"Montserrat","2021-12-12","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2021-12-26","0","0","0","0","0","0","0","0","0","1"
"Montserrat","2022-01-09","0","0","0","0","69","0","0","0","0","0"
"Montserrat","2022-01-23","0","0","0","0","0","0","0","0","41","0"
"Montserrat","2022-02-06","0","0","0","0","0","0","0","0","0","8"
"Montserrat","2022-02-20","0","0","0","0","0","0","0","0","0","0"
"Montserrat","2022-03-06","0","0","0","0","0","0","0","0","0","1"
"Montserrat","2022-03-20","0","0","0","0","0","0","0","0","0","10"
"Montserrat","2022-04-03","0","0","0","0","0","0","0","0","0","1"
