"location","date","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Unknown"
"Kiribati","2021-05-30","0","0","0","0","2"
"Kiribati","2021-06-13","0","0","0","0","0"
"Kiribati","2021-06-27","0","0","0","0","0"
"Kiribati","2021-07-11","0","0","0","0","0"
"Kiribati","2021-07-25","0","0","0","0","0"
"Kiribati","2021-08-08","0","0","0","0","0"
"Kiribati","2021-08-22","0","0","0","0","0"
"Kiribati","2021-09-05","0","0","0","0","0"
"Kiribati","2021-09-19","0","0","0","0","0"
"Kiribati","2021-10-03","0","0","0","0","0"
"Kiribati","2021-10-17","0","0","0","0","0"
"Kiribati","2021-10-31","0","0","0","0","0"
"Kiribati","2021-11-14","0","0","0","0","0"
"Kiribati","2021-11-28","0","0","0","0","0"
"Kiribati","2021-12-12","0","0","0","0","0"
"Kiribati","2021-12-26","0","0","0","0","0"
"Kiribati","2022-01-09","0","0","0","0","0"
"Kiribati","2022-01-23","29","2","4","4","0"
"Kiribati","2022-02-06","1504","0","0","0","0"
"Kiribati","2022-02-20","0","0","0","0","1290"
"Kiribati","2022-03-06","0","0","0","0","153"
"Kiribati","2022-03-20","0","0","0","0","63"
"Kiribati","2022-04-03","0","0","0","0","22"
"Kiribati","2022-04-17","0","0","0","0","7"
"Kiribati","2022-05-01","0","0","0","0","10"
"Kiribati","2022-05-15","0","0","0","0","9"
"Kiribati","2022-05-29","0","0","0","0","5"
"Kiribati","2022-06-12","0","0","0","0","106"
"Kiribati","2022-06-26","0","0","0","0","32"
"Kiribati","2022-07-10","0","0","0","0","0"
"Kiribati","2022-07-24","0","0","0","0","199"
