"location","date","A (Lineage)","Alpha (WHO VOC)","B (Lineage)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.106 (WHO VOC)","Delta - AY.111 (WHO VOC)","Delta - AY.119 (WHO VOC)","Delta - AY.121.1 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.126 (WHO VOC)","Delta - AY.127 (WHO VOC)","Delta - AY.75 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.15.1 (WHO VOC)","Other","Unknown"
"Kyrgyzstan","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Kyrgyzstan","2020-04-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133"
"Kyrgyzstan","2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"Kyrgyzstan","2020-05-03","241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-05-17","0","0","229","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-05-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","610"
"Kyrgyzstan","2020-06-14","0","0","537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-06-28","0","0","2732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-07-12","0","0","6100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-07-26","0","2411","19286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-08-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7106"
"Kyrgyzstan","2020-08-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3104"
"Kyrgyzstan","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1380"
"Kyrgyzstan","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","932"
"Kyrgyzstan","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2093"
"Kyrgyzstan","2020-10-18","0","0","4616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-11-01","0","0","6834","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-11-15","0","0","8105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2020-11-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5824"
"Kyrgyzstan","2020-12-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4549"
"Kyrgyzstan","2020-12-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3017"
"Kyrgyzstan","2021-01-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1900"
"Kyrgyzstan","2021-01-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1627"
"Kyrgyzstan","2021-02-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1171"
"Kyrgyzstan","2021-02-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","858"
"Kyrgyzstan","2021-03-07","0","621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","839"
"Kyrgyzstan","2021-04-04","0","1300","325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2021-04-18","0","2869","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
