"location","date","Alpha (WHO VOC)","Alpha - Q.8 (WHO VOC)","B (Lineage)","B.1.1.523 (WHO AFM)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K","Delta (WHO VOC)","Delta - AY.11 (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.29 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.9 (WHO VOC)"
"Ukraine","2020-05-03","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2020-05-17","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2020-05-31","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2020-06-14","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2020-06-28","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2020-07-12","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2020-08-09","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2020-11-29","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-01-10","0,0","1,3888888888888888","91,66666666666666","0,0","1,3888888888888888","1,3888888888888888","2,7777777777777777","1,3888888888888888","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-01-24","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-02-21","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-03-07","88,0","0,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-03-21","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-04-04","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-05-16","75,0","0,0","0,0","25,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-05-30","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-06-13","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Ukraine","2021-06-27","57,14285714285714","0,0","11,904761904761903","0,0","0,0","0,0","0,0","0,0","28,57142857142857","0,0","0,0","0,0","2,380952380952381","0,0"
"Ukraine","2021-07-11","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","75,0","0,0","0,0","12,5","12,5","0,0"
"Ukraine","2021-07-25","11,11111111111111","0,0","0,0","0,0","0,0","0,0","0,0","0,0","55,55555555555556","11,11111111111111","11,11111111111111","0,0","11,11111111111111","0,0"
"Ukraine","2021-09-05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","80,0","0,0","0,0","0,0","20,0","0,0"
"Ukraine","2021-09-19","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","94,11764705882352","0,0","0,0","0,0","0,0","5,88235294117647"
"Ukraine","2021-10-03","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","50,0","0,0"
