"location","date","Alpha (WHO VOC)","B.1.1.318 (WHO FMV)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.26 (WHO VOC)","Delta - AY.37 (WHO VOC)","Eta (CDC VBM)","Iota (CDC VBM)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Other","R.1 (WHO FMV)"
"Liberia","2021-03-21","0,0","0,0","0,0","0,0","0,0","50,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Liberia","2021-04-04","16,666666666666664","0,0","50,0","0,0","0,0","0,0","16,666666666666664","16,666666666666664","0,0","0,0","0,0","0,0","0,0","0,0"
"Liberia","2021-04-18","0,0","0,0","14,285714285714285","28,57142857142857","0,0","28,57142857142857","14,285714285714285","0,0","0,0","0,0","0,0","0,0","0,0","14,285714285714285"
"Liberia","2021-05-16","50,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Liberia","2021-05-30","12,5","18,75","12,5","25,0","0,0","12,5","18,75","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Liberia","2021-06-13","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Liberia","2021-06-27","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Liberia","2021-07-11","0,0","0,0","0,0","0,0","12,5","87,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Liberia","2021-12-26","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","27,77777777777778","16,666666666666664","16,666666666666664","11,11111111111111","27,77777777777778","0,0"
"Liberia","2022-01-09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","33,33333333333333","13,333333333333334","6,666666666666667","26,666666666666668","0,0"
