"location","date","Alpha (WHO VOC)","Alpha - Q.4 (WHO VOC)","B.1.1.318 (WHO FMV)","B.1.620 - 20A/S:126A","Delta (WHO VOC)","Delta - AY.121 (WHO VOC)","Delta - AY.34 (WHO VOC)","Delta - AY.34.1 (WHO VOC)","Eta (WHO VOI)","Other"
"Mauritania","2021-03-07","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Mauritania","2021-03-21","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Mauritania","2021-04-04","50,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0"
"Mauritania","2021-05-02","0,0","0,0","0,0","0,0","50,0","0,0","0,0","25,0","25,0","0"
"Mauritania","2021-05-16","0,0","0,0","0,0","0,0","0,0","0,0","16,666666666666664","0,0","83,33333333333334","0"
"Mauritania","2021-05-30","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0"
"Mauritania","2021-06-13","16,666666666666664","16,666666666666664","0,0","16,666666666666664","0,0","0,0","0,0","0,0","50,0","0"
"Mauritania","2021-08-22","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Mauritania","2021-09-05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Mauritania","2021-09-19","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Mauritania","2021-10-17","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Mauritania","2021-10-31","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0"
"Mauritania","2021-11-14","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0"
