"location","date","B (Lineage)","Delta - AY.119 (WHO VOC)","Delta - AY.119.2 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.34 (WHO VOC)","Delta - AY.39 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.75 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.1 (WHO VOC)","Omicron - BA.1.1.10 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.1.4 (WHO VOC)","Omicron - BA.1.6 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.16 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)"
"Saint Martin (French part)","2020-04-05","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Saint Martin (French part)","2020-04-19","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Saint Martin (French part)","2021-11-28","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Saint Martin (French part)","2021-12-12","0,0","10,0","0,0","10,0","10,0","10,0","0,0","50,0","0,0","10,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Saint Martin (French part)","2021-12-26","0,0","0,0","1,3513513513513513","2,7027027027027026","0,0","0,0","1,3513513513513513","10,81081081081081","4,054054054054054","0,0","0,0","13,513513513513514","17,56756756756757","0,0","0,0","43,24324324324324","0,0","1,3513513513513513","4,054054054054054","0,0","0,0","0,0"
"Saint Martin (French part)","2022-01-09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,636363636363635","51,81818181818182","2,727272727272727","0,0","24,545454545454547","3,6363636363636362","0,0","3,6363636363636362","0,0","0,0","0,0"
"Saint Martin (French part)","2022-02-06","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","38,88888888888889","5,555555555555555","5,555555555555555","38,88888888888889","0,0","0,0","0,0","5,555555555555555","5,555555555555555","0,0"
"Saint Martin (French part)","2022-02-20","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","66,66666666666666","11,11111111111111","0,0","11,11111111111111","11,11111111111111","0,0","0,0","0,0","0,0","0,0"
"Saint Martin (French part)","2022-03-06","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","80,0"
"Saint Martin (French part)","2022-03-20","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0"
"Saint Martin (French part)","2022-04-03","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,761904761904762","0,0","0,0","14,285714285714285","0,0","80,95238095238095"
